Title,URL
Blog-fork,https://github.com/M3SOulu/EMSE2025SAR-blog-microservices
Blog-primary,https://github.com/callistaenterprise/blog-microservices
Cqrs-fork,https://github.com/pyronlaboratory/cqrs-microservice-sampler
Cqrs-primary,https://github.com/benwilcock/cqrs-microservice-sampler
E-commerce-fork,https://github.com/tanvir4hmed/e-commerce-microservices-sample
E-commerce-primary,https://github.com/venkataravuri/e-commerce-microservices-sample
eShop-fork,https://github.com/egvijayanand/eShop
eShop-primary,https://github.com/dotnet/eShop
Ftgo-application-fork,https://github.com/ndnhuy/ftgo-application
Ftgo-application-primary,https://github.com/microservices-patterns/ftgo-application
jaeger-fork,https://github.com/openinsight-proj/jaeger
jaeger-primary,https://github.com/jaegertracing/jaeger
Lakeside-fork,https://github.com/DejanBogdanovic/LakesideMutual
Lakeside-primary,https://github.com/Microservice-API-Patterns/LakesideMutual
Micro-comp-fork,https://github.com/DaGeRe/micro-company
Micro-comp-primary,https://github.com/idugalic/micro-company
Micro-consul-fork,https://github.com/innoq/microservice-consul
Micro-consul-primary,https://github.com/ewolff/microservice-consul
Micro-ewolff-fork,https://github.com/M3SOulu/EMSE2025SAR-microservice
Micro-ewolff-primary,https://github.com/ewolff/microservice
Google-demo-fork,https://github.com/signalfx/microservices-demo
Google-demo-primary,https://github.com/GoogleCloudPlatform/microservices-demo
Micro-demo-fork,https://github.com/YuSitong1999/sock-shop-microservices-demo
Micro-demo-primary,https://github.com/microservices-demo/microservices-demo
Micro-ref-fork,https://github.com/chhtw/microservices-reference-implementation
Micro-ref-primary,https://github.com/mspnp/microservices-reference-implementation
MusicStore-fork,https://github.com/friism/MusicStore
MusicStore-primary,https://github.com/dotnet/aspnetcore
paulc4-demo-fork,https://github.com/sundar4consulting/microservices-demo
paulc4-demo-primary,https://github.com/paulc4/microservices-demo
piggymetrics-fork,https://github.com/Azure-Samples/piggymetrics
piggymetrics-primary,https://github.com/sqshq/PiggyMetrics
qbike-fork,https://github.com/chenlingmin/qbike
qbike-primary,https://github.com/JoeCao/qbike
Robot-shop-fork,https://github.com/iam-veeramalla/three-tier-architecture-demo
Robot-shop-primary,https://github.com/instana/robot-shop
sitewhere-fork,https://github.com/guillaumerosinosky/sitewhere
sitewhere-primary,https://github.com/sitewhere/sitewhere
Spring-micro-fork,https://github.com/sunquanchao/spring-cloud-microservice-examples-z
Spring-micro-primary,https://github.com/zpng/spring-cloud-microservice-examples
Spring-movie-fork,https://github.com/M3SOulu/EMSE2025SAR-spring-cloud-movie-recommendation
Spring-movie-primary,https://github.com/mdeket/spring-cloud-movie-recommendation
Spring-netflix-fork,https://github.com/M3SOulu/EMSE2025SAR-spring-cloud-netflix-example
Spring-netflix-primary,https://github.com/yidongnan/spring-cloud-netflix-example
